,Unnamed: 0,sensitivity,specificity,inv_frac,delay_samples,decay_part
1244,1244,1.0,0.0,1.5,75,220
1243,1243,1.0,0.0,1.0,75,220
1242,1242,1.0,0.0,0.5,75,220
1009,1009,1.0,0.0,3.0,250,240
958,958,0.9993364299933644,0.0,3.0,175,240
1514,1514,1.0,0.0,0.5,125,260
1515,1515,1.0,0.0,1.0,125,260
1497,1497,1.0,0.0,0.5,100,260
1516,1516,1.0,0.0,1.5,125,260
959,959,0.9993364299933644,0.0,3.5,175,240
1259,1259,1.0,0.0,0.5,100,220
1277,1277,1.0,0.0,1.0,125,220
1276,1276,1.0,0.0,0.5,125,220
1007,1007,1.0,0.0,2.0,250,240
1480,1480,1.0,0.0,0.5,75,260
1481,1481,1.0,0.0,1.0,75,260
1482,1482,1.0,0.0,1.5,75,260
1483,1483,1.0,0.0,2.0,75,260
1484,1484,1.0,0.0,2.5,75,260
1485,1485,1.0,0.0,3.0,75,260
1265,1265,1.0,0.0,3.5,100,220
1264,1264,1.0,0.0,3.0,100,220
1263,1263,1.0,0.0,2.5,100,220
1262,1262,1.0,0.0,2.0,100,220
1261,1261,1.0,0.0,1.5,100,220
1260,1260,1.0,0.0,1.0,100,220
1008,1008,1.0,0.0,2.5,250,240
1278,1278,1.0,0.0,1.5,125,220
1517,1517,1.0,0.0,2.0,125,260
1519,1519,1.0,0.0,3.0,125,260
1208,1208,1.0,0.0,0.5,25,220
956,956,1.0,0.0,2.0,175,240
955,955,1.0,0.0,1.5,175,240
954,954,1.0,0.0,1.0,175,240
953,953,1.0,0.0,0.5,175,240
1021,1021,1.0,0.0,0.5,150,260
1022,1022,1.0,0.0,1.0,150,260
1023,1023,1.0,0.0,1.5,150,260
1024,1024,1.0,0.0,2.0,150,260
1025,1025,1.0,0.0,2.5,150,260
1026,1026,1.0,0.0,3.0,150,260
941,941,1.0,0.0,3.0,150,240
940,940,1.0,0.0,2.5,150,240
939,939,1.0,0.0,2.0,150,240
938,938,1.0,0.0,1.5,150,240
1209,1209,1.0,0.0,1.0,25,220
1518,1518,1.0,0.0,2.5,125,260
1210,1210,1.0,0.0,1.5,25,220
1212,1212,1.0,0.0,2.5,25,220
1231,1231,1.0,0.0,3.5,50,220
1230,1230,1.0,0.0,3.0,50,220
1229,1229,1.0,0.0,2.5,50,220
1228,1228,1.0,0.0,2.0,50,220
1227,1227,1.0,0.0,1.5,50,220
1226,1226,1.0,0.0,1.0,50,220
1225,1225,1.0,0.0,0.5,50,220
957,957,1.0,0.0,2.5,175,240
1531,1531,1.0,0.0,0.5,150,260
1532,1532,1.0,0.0,1.0,150,260
1533,1533,1.0,0.0,1.5,150,260
1534,1534,1.0,0.0,2.0,150,260
1535,1535,1.0,0.0,2.5,150,260
1536,1536,1.0,0.0,3.0,150,260
1213,1213,1.0,0.0,3.0,25,220
1211,1211,1.0,0.0,2.0,25,220
1565,1565,1.0,0.0,0.5,25,280
1279,1279,1.0,0.0,2.0,125,220
1281,1281,1.0,0.0,3.0,125,220
1348,1348,1.0,0.0,2.5,50,240
1347,1347,1.0,0.0,2.0,50,240
1346,1346,1.0,0.0,1.5,50,240
1345,1345,1.0,0.0,1.0,50,240
1344,1344,1.0,0.0,0.5,50,240
1412,1412,1.0,0.0,0.5,150,240
1413,1413,1.0,0.0,1.0,150,240
1414,1414,1.0,0.0,1.5,150,240
1415,1415,1.0,0.0,2.0,150,240
1416,1416,1.0,0.0,2.5,150,240
1417,1417,1.0,0.0,3.0,150,240
1332,1332,1.0,0.0,3.0,25,240
1331,1331,1.0,0.0,2.5,25,240
1330,1330,1.0,0.0,2.0,25,240
1329,1329,1.0,0.0,1.5,25,240
1349,1349,1.0,0.0,3.0,50,240
1328,1328,1.0,0.0,1.0,25,240
1350,1350,1.0,0.0,3.5,50,240
1399,1399,1.0,0.0,2.5,125,240
1380,1380,1.0,0.0,1.5,100,240
1381,1381,1.0,0.0,2.0,100,240
1366,1366,1.0,0.0,3.0,75,240
1365,1365,1.0,0.0,2.5,75,240
1364,1364,1.0,0.0,2.0,75,240
1363,1363,1.0,0.0,1.5,75,240
1362,1362,1.0,0.0,1.0,75,240
1361,1361,1.0,0.0,0.5,75,240
1382,1382,1.0,0.0,2.5,100,240
1383,1383,1.0,0.0,3.0,100,240
1384,1384,1.0,0.0,3.5,100,240
1395,1395,1.0,0.0,0.5,125,240
1396,1396,1.0,0.0,1.0,125,240
1397,1397,1.0,0.0,1.5,125,240
1398,1398,1.0,0.0,2.0,125,240
1400,1400,1.0,0.0,3.0,125,240
1280,1280,1.0,0.0,2.5,125,220
1327,1327,1.0,0.0,0.5,25,240
988,988,1.0,0.0,1.0,225,240
1299,1299,0.9993364299933644,0.0,3.5,150,220
1298,1298,1.0,0.0,3.0,150,220
1297,1297,1.0,0.0,2.5,150,220
1296,1296,1.0,0.0,2.0,150,220
1295,1295,1.0,0.0,1.5,150,220
1294,1294,1.0,0.0,1.0,150,220
1293,1293,1.0,0.0,0.5,150,220
1006,1006,1.0,0.0,1.5,250,240
1463,1463,1.0,0.0,0.5,50,260
1464,1464,1.0,0.0,1.0,50,260
1465,1465,1.0,0.0,1.5,50,260
1466,1466,1.0,0.0,2.0,50,260
1467,1467,1.0,0.0,2.5,50,260
1468,1468,1.0,0.0,3.0,50,260
1469,1469,1.0,0.0,3.5,50,260
1451,1451,1.0,0.0,3.0,25,260
987,987,1.0,0.0,0.5,225,240
1450,1450,1.0,0.0,2.5,25,260
1448,1448,1.0,0.0,1.5,25,260
989,989,1.0,0.0,1.5,225,240
990,990,1.0,0.0,2.0,225,240
991,991,1.0,0.0,2.5,225,240
992,992,1.0,0.0,3.0,225,240
852,852,1.0,0.0,1.0,150,220
975,975,1.0,0.0,3.0,200,240
974,974,1.0,0.0,2.5,200,240
973,973,1.0,0.0,2.0,200,240
972,972,1.0,0.0,1.5,200,240
971,971,1.0,0.0,1.0,200,240
1004,1004,1.0,0.0,0.5,250,240
1005,1005,1.0,0.0,1.0,250,240
970,970,1.0,0.0,0.5,200,240
1446,1446,1.0,0.0,0.5,25,260
1447,1447,1.0,0.0,1.0,25,260
1449,1449,1.0,0.0,2.0,25,260
1566,1566,1.0,0.0,1.0,25,280
1567,1567,1.0,0.0,1.5,25,280
1568,1568,1.0,0.0,2.0,25,280
1705,1705,1.0,0.0,2.5,50,300
1706,1706,1.0,0.0,3.0,50,300
1061,1061,1.0,0.0,3.5,150,180
1060,1060,1.0,0.0,3.0,150,180
1059,1059,1.0,0.0,2.5,150,180
1058,1058,1.0,0.0,2.0,150,180
1057,1057,1.0,0.0,1.5,150,180
1056,1056,1.0,0.0,1.0,150,180
1055,1055,1.0,0.0,0.5,150,180
1055,1055,1.0,0.0,0.5,200,260
1718,1718,1.0,0.0,0.5,75,300
1719,1719,1.0,0.0,1.0,75,300
1720,1720,1.0,0.0,1.5,75,300
1721,1721,1.0,0.0,2.0,75,300
1722,1722,1.0,0.0,2.5,75,300
1704,1704,1.0,0.0,2.0,50,300
1723,1723,1.0,0.0,3.0,75,300
1703,1703,1.0,0.0,1.5,50,300
1701,1701,1.0,0.0,0.5,50,300
1039,1039,1.0,0.0,1.0,175,260
1040,1040,1.0,0.0,1.5,175,260
1041,1041,1.0,0.0,2.0,175,260
1042,1042,1.0,0.0,2.5,175,260
