,sensitivity,specificity,inv_frac,delay_samples,window
384,0.0,1.0,0.0,75,60
385,1.0,0.0,0.5,75,60
386,1.0,0.0,1.0,75,60
387,1.0,0.0,1.5,75,60
388,1.0,0.0,2.0,75,60
389,1.0,0.03006012024048096,2.5,75,60
390,0.996,0.18837675350701402,3.0,75,60
391,0.956,0.45691382765531063,3.5,75,60
392,0.91,0.6813627254509018,4.0,75,60
393,0.856,0.7915831663326653,4.5,75,60
394,0.802,0.8777555110220441,5.0,75,60
395,0.72,0.9258517034068137,5.5,75,60
396,0.624,0.9619238476953907,6.0,75,60
397,0.516,0.9739478957915831,6.5,75,60
398,0.444,0.9799599198396793,7.0,75,60
399,0.372,0.9879759519038076,7.5,75,60
400,0.0,1.0,0.0,100,60
401,1.0,0.0,0.5,100,60
402,1.0,0.0,1.0,100,60
403,1.0,0.0,1.5,100,60
404,1.0,0.0,2.0,100,60
405,1.0,0.03206412825651302,2.5,100,60
406,1.0,0.18036072144288579,3.0,100,60
407,0.998,0.4228456913827655,3.5,100,60
408,0.986,0.625250501002004,4.0,100,60
409,0.966,0.779559118236473,4.5,100,60
410,0.932,0.8476953907815631,5.0,100,60
411,0.884,0.8997995991983968,5.5,100,60
412,0.844,0.9458917835671342,6.0,100,60
413,0.796,0.9679358717434869,6.5,100,60
414,0.74,0.9799599198396793,7.0,100,60
415,0.716,0.9899799599198397,7.5,100,60
416,0.0,1.0,0.0,125,60
417,1.0,0.0,0.5,125,60
418,1.0,0.0,1.0,125,60
419,1.0,0.0,1.5,125,60
420,1.0,0.0,2.0,125,60
421,1.0,0.022044088176352707,2.5,125,60
422,1.0,0.1843687374749499,3.0,125,60
423,1.0,0.45490981963927857,3.5,125,60
424,0.998,0.6412825651302605,4.0,125,60
425,0.992,0.7715430861723447,4.5,125,60
426,0.972,0.8537074148296593,5.0,125,60
427,0.936,0.9018036072144289,5.5,125,60
428,0.908,0.935871743486974,6.0,125,60
429,0.868,0.9619238476953907,6.5,125,60
430,0.816,0.9739478957915831,7.0,125,60
431,0.764,0.9859719438877755,7.5,125,60
432,0.0,1.0,0.0,150,60
433,1.0,0.0,0.5,150,60
434,1.0,0.0,1.0,150,60
435,1.0,0.0,1.5,150,60
436,1.0,0.0,2.0,150,60
437,1.0,0.018036072144288578,2.5,150,60
438,1.0,0.17835671342685372,3.0,150,60
439,1.0,0.43286573146292584,3.5,150,60
440,0.996,0.6513026052104208,4.0,150,60
441,0.99,0.7915831663326653,4.5,150,60
442,0.982,0.87374749498998,5.0,150,60
443,0.966,0.9438877755511023,5.5,150,60
444,0.926,0.9599198396793587,6.0,150,60
445,0.904,0.9779559118236473,6.5,150,60
446,0.866,0.9839679358717435,7.0,150,60
447,0.83,0.9919839679358717,7.5,150,60
448,0.0,1.0,0.0,0,80
449,0.0,1.0,0.5,0,80
450,0.0,1.0,1.0,0,80
451,0.0,1.0,1.5,0,80
452,0.0,1.0,2.0,0,80
453,0.0,1.0,2.5,0,80
454,0.0,1.0,3.0,0,80
455,0.0,1.0,3.5,0,80
456,0.0,1.0,4.0,0,80
457,0.0,1.0,4.5,0,80
458,0.0,1.0,5.0,0,80
459,0.0,1.0,5.5,0,80
460,0.0,1.0,6.0,0,80
461,0.0,1.0,6.5,0,80
462,0.0,1.0,7.0,0,80
463,0.0,1.0,7.5,0,80
464,0.0,1.0,0.0,25,80
465,0.994,0.002004008016032064,0.5,25,80
466,1.0,0.0,1.0,25,80
467,1.0,0.0,1.5,25,80
468,1.0,0.0,2.0,25,80
